FID,BoroCT2010,Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T004_009,SE_T004_010,SE_T004_011,SE_T004_012,SE_T004_013,SE_T004_014,SE_T004_015,SE_T004_016,SE_T004_017,SE_T004_018,SE_T004_019,SE_T004_020,SE_T004_021,SE_T004_022,SE_T004_023,SE_T004_024,SE_T004_025,SE_T004_026,SE_T004_027,SE_T004A001,SE_T004A002,SE_T004A003,SE_T004A004,SE_T004A005,SE_T004A006,SE_T004A007,SE_T004A008,SE_T004A009,SE_T004A010,SE_T004A011,SE_T004A012,SE_T004A013,SE_T004A014,SE_T004A015,SE_T004A016,SE_T004A017,SE_T004A018,SE_T004A019,SE_T004A020,SE_T004A021,SE_T004A022,SE_T004A023,SE_T004A024,SE_T004A025,SE_T004B001,SE_T004B002,SE_T004B003,SE_T004B004,SE_T004B005,SE_T004B006,SE_T004B007,SE_T004B008,SE_T004B009,SE_T004B010,SE_T004B011,SE_T004B012,SE_T004B013,SE_T004B014,SE_T004B015,SE_T004B016,SE_T004B017,SE_T004B018,SE_T004B019,SE_T004B020,SE_T004B021,SE_T004B022,SE_T004B023,SE_T004B024,SE_T004B025,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T008A001,SE_T008A002,SE_T008A003,SE_T008A004,SE_T008A005,SE_T008A006,SE_T008A007,SE_T008A008,SE_T008A009,SE_T008A010,SE_T008A011,SE_T008A012,SE_T008B001,SE_T008B002,SE_T008B003,SE_T008B004,SE_T008B005,SE_T008B006,SE_T008B007,SE_T008B008,SE_T008B009,SE_T008B010,SE_T008B011,SE_T008B012,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T012_008,SE_T012_009,SE_T012_010,SE_T012_011,SE_T012_012,SE_T012_013,SE_T012_014,SE_T012_015,SE_T012_016,SE_T012_017,SE_T012_018,SE_T012_019,SE_T012_020,SE_T012_021,SE_T012_022,SE_T012_023,SE_T012_024,SE_T012A001,SE_T012A002,SE_T012A003,SE_T012A004,SE_T012A005,SE_T012A006,SE_T012A007,SE_T012A008,SE_T012A009,SE_T012A010,SE_T012A011,SE_T012A012,SE_T012A013,SE_T012A014,SE_T012A015,SE_T012A016,SE_T012A017,SE_T012A018,SE_T012A019,SE_T012A020,SE_T012A021,SE_T012A022,SE_T012A023,SE_T012B001,SE_T012B002,SE_T012B003,SE_T012B004,SE_T012B005,SE_T012B006,SE_T012B007,SE_T012B008,SE_T012B009,SE_T012B010,SE_T012B011,SE_T012B012,SE_T012B013,SE_T012B014,SE_T012B015,SE_T012B016,SE_T012B017,SE_T012B018,SE_T012B019,SE_T012B020,SE_T012B021,SE_T012B022,SE_T012B023,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T017_010,SE_T017_011,SE_T017_012,SE_T017_013,SE_T017_014,SE_T017_015,SE_T017_016,SE_T017_017,SE_T017_018,SE_T017_019,SE_T017_020,SE_T017_021,SE_T017_022,SE_T017_023,SE_T017_024,SE_T017A001,SE_T017A002
326,3075200,Census Tract 752,"Census Tract 752, Kings County, New York",36047075200,140,0,36,47,22,,75200,1130,1130,16898.31,0.06687058,0.06687058,0.06687058,0,1130,570,560,1130,570,35,54,51,50,78,34,31,66,89,42,27,13,560,40,39,42,43,72,30,50,67,91,35,33,18,1130,570,35,89,140,190,268,302,333,399,488,530,557,560,40,79,121,164,236,266,316,383,474,509,542,1130,570,535,481,430,380,302,268,237,171,82,40,13,560,520,481,439,396,324,294,244,177,86,51,18,1130,570,190,112,186,82,560,164,102,208,86,1130,75,93,93,93,150,64,81,133,180,77,60,31,1130,75,168,261,354,504,568,649,782,962,1039,1099,1130,1055,962,869,776,626,562,481,348,168,91,31,1130,354,214,394,168,1130,75,93,93,93,54,28,22,46,34,30,29,52,54,79,83,46,51,13,30,34,31,29,31,1130,75,168,261,354,408,436,458,504,538,568,597,649,703,782,865,911,962,975,1005,1039,1070,1099,1130,1055,962,869,776,722,694,672,626,592,562,533,481,427,348,265,219,168,155,125,91,60,31,570,190,112,186,82,560,164,102,208,86,1118,75,92,93,93,54,27,22,45,33,30,29,52,53,78,82,46,50,12,30,34,31,28,29,1118,75
327,3075400,Census Tract 754,"Census Tract 754, Kings County, New York",36047075400,140,0,36,47,22,,75400,1488,1488,22218.2,0.066972125,0.06697212,0.06697212,0,1488,769,719,1488,769,71,69,75,53,96,72,54,90,87,54,37,11,719,46,58,65,43,98,60,76,82,89,47,39,16,1488,769,71,140,215,268,364,436,490,580,667,721,758,719,46,104,169,212,310,370,446,528,617,664,703,1488,769,698,629,554,501,405,333,279,189,102,48,11,719,673,615,550,507,409,349,273,191,102,55,16,1488,769,268,168,231,102,719,212,158,247,102,1488,117,127,140,96,194,132,130,172,176,101,76,27,1488,117,244,384,480,674,806,936,1108,1284,1385,1461,1488,1371,1244,1104,1008,814,682,552,380,204,103,27,1488,480,326,478,204,1488,117,127,140,96,60,31,30,73,80,52,59,71,92,80,90,49,37,28,28,45,36,40,27,1488,117,244,384,480,540,571,601,674,754,806,865,936,1028,1108,1198,1247,1284,1312,1340,1385,1421,1461,1488,1371,1244,1104,1008,948,917,887,814,734,682,623,552,460,380,290,241,204,176,148,103,67,27,769,268,168,231,102,719,212,158,247,102,1488,117,127,140,96,60,31,30,73,80,52,59,71,92,80,90,49,37,28,28,45,36,40,27,1488,117
328,3075600,Census Tract 756,"Census Tract 756, Kings County, New York",36047075600,140,0,36,47,22,,75600,1993,1993,29743.39,0.067006488,0.06700649,0.06700649,0,1993,963,1030,1993,963,81,91,77,56,103,113,112,124,109,56,31,10,1030,85,81,99,57,99,102,115,157,118,59,33,25,1993,963,81,172,249,305,408,521,633,757,866,922,953,1030,85,166,265,322,421,523,638,795,913,972,1005,1993,963,882,791,714,658,555,442,330,206,97,41,10,1030,945,864,765,708,609,507,392,235,117,58,25,1993,963,305,216,345,97,1030,322,201,390,117,1993,166,172,176,113,202,215,227,281,227,115,64,35,1993,166,338,514,627,829,1044,1271,1552,1779,1894,1958,1993,1827,1655,1479,1366,1164,949,722,441,214,99,35,1993,627,417,735,214,1993,166,172,176,113,64,35,24,79,100,115,124,103,116,165,119,47,61,23,47,45,36,28,35,1993,166,338,514,627,691,726,750,829,929,1044,1168,1271,1387,1552,1671,1718,1779,1802,1849,1894,1930,1958,1993,1827,1655,1479,1366,1302,1267,1243,1164,1064,949,825,722,606,441,322,275,214,191,144,99,63,35,963,305,216,345,97,1030,322,201,390,117,1740,154,162,160,100,53,33,22,71,85,97,102,84,85,133,105,43,55,18,45,40,34,25,34,1740,154
329,3076000,Census Tract 760,"Census Tract 760, Kings County, New York",36047076000,140,0,36,47,22,,76000,2776,2776,39595.37,0.070109205,0.0701092,0.0701092,0,2776,1313,1463,2776,1313,100,76,102,73,151,147,144,172,154,109,66,19,1463,79,74,88,75,161,162,152,184,200,129,104,55,2776,1313,100,176,278,351,502,649,793,965,1119,1228,1294,1463,79,153,241,316,477,639,791,975,1175,1304,1408,2776,1313,1213,1137,1035,962,811,664,520,348,194,85,19,1463,1384,1310,1222,1147,986,824,672,488,288,159,55,2776,1313,351,298,470,194,1463,316,323,536,288,2776,179,150,190,148,312,309,296,356,354,238,170,74,2776,179,329,519,667,979,1288,1584,1940,2294,2532,2702,2776,2597,2447,2257,2109,1797,1488,1192,836,482,244,74,2776,667,621,1006,482,2776,179,150,190,148,97,42,48,125,172,137,146,150,183,173,197,62,95,47,66,125,77,93,74,2776,179,329,519,667,764,806,854,979,1151,1288,1434,1584,1767,1940,2137,2199,2294,2341,2407,2532,2609,2702,2776,2597,2447,2257,2109,2012,1970,1922,1797,1625,1488,1342,1192,1009,836,639,577,482,435,369,244,167,74,1313,351,298,470,194,1463,316,323,536,288,2444,153,129,165,132,89,37,39,106,136,122,125,122,153,155,173,56,89,44,62,123,73,91,70,2444,153
330,3076200,Census Tract 762,"Census Tract 762, Kings County, New York",36047076200,140,0,36,47,22,,76200,4235,4235,58330.27,0.072603811,0.07260381,0.07260381,0,4235,2006,2229,4235,2006,110,128,163,75,254,274,247,261,241,137,85,31,2229,142,143,148,84,278,278,243,269,266,136,170,72,4235,2006,110,238,401,476,730,1004,1251,1512,1753,1890,1975,2229,142,285,433,517,795,1073,1316,1585,1851,1987,2157,4235,2006,1896,1768,1605,1530,1276,1002,755,494,253,116,31,2229,2087,1944,1796,1712,1434,1156,913,644,378,242,72,4235,2006,476,528,749,253,2229,517,556,778,378,4235,252,271,311,159,532,552,490,530,507,273,255,103,4235,252,523,834,993,1525,2077,2567,3097,3604,3877,4132,4235,3983,3712,3401,3242,2710,2158,1668,1138,631,358,103,4235,993,1084,1527,631,4235,252,271,311,159,130,96,71,235,313,239,233,257,260,270,263,94,150,63,76,134,127,128,103,4235,252,523,834,993,1123,1219,1290,1525,1838,2077,2310,2567,2827,3097,3360,3454,3604,3667,3743,3877,4004,4132,4235,3983,3712,3401,3242,3112,3016,2945,2710,2397,2158,1925,1668,1408,1138,875,781,631,568,492,358,231,103,2006,476,528,749,253,2229,517,556,778,378,2657,140,140,196,99,77,64,46,151,179,120,113,144,136,154,179,73,119,44,49,114,106,116,98,2657,140
331,3076400,Census Tract 764,"Census Tract 764, Kings County, New York",36047076400,140,0,36,47,22,,76400,3487,3487,55890.84,0.062389478,0.06238948,0.06238948,0,3487,1555,1932,3487,1555,112,91,113,83,192,241,183,216,200,80,34,10,1932,111,101,99,79,220,298,231,304,274,131,66,18,3487,1555,112,203,316,399,591,832,1015,1231,1431,1511,1545,1932,111,212,311,390,610,908,1139,1443,1717,1848,1914,3487,1555,1443,1352,1239,1156,964,723,540,324,124,44,10,1932,1821,1720,1621,1542,1322,1024,793,489,215,84,18,3487,1555,399,433,599,124,1932,390,518,809,215,3487,223,192,212,162,412,539,414,520,474,211,100,28,3487,223,415,627,789,1201,1740,2154,2674,3148,3359,3459,3487,3264,3072,2860,2698,2286,1747,1333,813,339,128,28,3487,789,951,1408,339,3487,223,192,212,162,98,55,68,191,268,271,182,232,240,280,254,93,127,47,63,101,53,47,28,3487,223,415,627,789,887,942,1010,1201,1469,1740,1922,2154,2394,2674,2928,3021,3148,3195,3258,3359,3412,3459,3487,3264,3072,2860,2698,2600,2545,2477,2286,2018,1747,1565,1333,1093,813,559,466,339,292,229,128,75,28,1555,399,433,599,124,1932,390,518,809,215,878,49,64,50,42,22,14,13,62,53,53,38,59,53,51,71,25,49,12,19,31,11,24,13,878,49
332,3076800,Census Tract 768,"Census Tract 768, Kings County, New York",36047076800,140,0,36,47,22,,76800,3407,3407,29088.04,0.117127184,0.1171272,0.1171272,0,3407,1638,1769,3407,1638,184,145,115,89,165,231,167,192,166,92,67,25,1769,160,146,133,73,187,252,182,207,179,104,95,51,3407,1638,184,329,444,533,698,929,1096,1288,1454,1546,1613,1769,160,306,439,512,699,951,1133,1340,1519,1623,1718,3407,1638,1454,1309,1194,1105,940,709,542,350,184,92,25,1769,1609,1463,1330,1257,1070,818,636,429,250,146,51,3407,1638,533,396,525,184,1769,512,439,568,250,3407,344,291,248,162,352,483,349,399,345,196,162,76,3407,344,635,883,1045,1397,1880,2229,2628,2973,3169,3331,3407,3063,2772,2524,2362,2010,1527,1178,779,434,238,76,3407,1045,835,1093,434,3407,344,291,248,162,104,45,47,156,258,225,181,168,191,208,185,74,86,34,60,102,80,82,76,3407,344,635,883,1045,1149,1194,1241,1397,1655,1880,2061,2229,2420,2628,2813,2887,2973,3007,3067,3169,3249,3331,3407,3063,2772,2524,2362,2258,2213,2166,2010,1752,1527,1346,1178,987,779,594,520,434,400,340,238,158,76,1638,533,396,525,184,1769,512,439,568,250,2782,310,243,209,125,77,41,34,127,221,181,141,130,141,150,136,63,71,31,55,84,66,75,71,2782,310
333,3077000,Census Tract 770,"Census Tract 770, Kings County, New York",36047077000,140,0,36,47,22,,77000,2722,2722,43175.98,0.063044308,0.06304431,0.06304431,0,2722,1262,1460,2722,1262,108,79,67,32,165,184,167,197,148,77,32,6,1460,91,81,81,47,150,223,219,228,166,100,59,15,2722,1262,108,187,254,286,451,635,802,999,1147,1224,1256,1460,91,172,253,300,450,673,892,1120,1286,1386,1445,2722,1262,1154,1075,1008,976,811,627,460,263,115,38,6,1460,1369,1288,1207,1160,1010,787,568,340,174,74,15,2722,1262,286,349,512,115,1460,300,373,613,174,2722,199,160,148,79,315,407,386,425,314,177,91,21,2722,199,359,507,586,901,1308,1694,2119,2433,2610,2701,2722,2523,2363,2215,2136,1821,1414,1028,603,289,112,21,2722,586,722,1125,289,2722,199,160,148,79,72,37,44,162,207,200,181,205,208,217,171,59,84,52,55,70,51,40,21,2722,199,359,507,586,658,695,739,901,1108,1308,1489,1694,1902,2119,2290,2349,2433,2485,2540,2610,2661,2701,2722,2523,2363,2215,2136,2064,2027,1983,1821,1614,1414,1233,1028,820,603,432,373,289,237,182,112,61,21,1262,286,349,512,115,1460,300,373,613,174,347,25,16,14,8,4,6,7,20,27,29,26,31,20,24,21,5,14,4,9,10,10,12,5,347,25
334,3077400,Census Tract 774,"Census Tract 774, Kings County, New York",36047077400,140,0,36,47,22,,77400,2881,2881,50497.79,0.057052002,0.057052,0.057052,0,2881,1258,1623,2881,1258,118,103,82,52,146,205,169,169,131,56,21,6,1623,130,105,94,50,162,292,219,231,168,94,59,19,2881,1258,118,221,303,355,501,706,875,1044,1175,1231,1252,1623,130,235,329,379,541,833,1052,1283,1451,1545,1604,2881,1258,1140,1037,955,903,757,552,383,214,83,27,6,1623,1493,1388,1294,1244,1082,790,571,340,172,78,19,2881,1258,355,351,469,83,1623,379,454,618,172,2881,248,208,176,102,308,497,388,400,299,150,80,25,2881,248,456,632,734,1042,1539,1927,2327,2626,2776,2856,2881,2633,2425,2249,2147,1839,1342,954,554,255,105,25,2881,734,805,1087,255,2881,248,208,176,102,80,51,36,141,288,209,189,199,195,205,172,66,61,42,52,56,41,39,25,2881,248,456,632,734,814,865,901,1042,1330,1539,1728,1927,2122,2327,2499,2565,2626,2668,2720,2776,2817,2856,2881,2633,2425,2249,2147,2067,2016,1980,1839,1551,1342,1153,954,759,554,382,316,255,213,161,105,64,25,1258,355,351,469,83,1623,379,454,618,172,753,92,47,28,18,17,7,9,48,93,52,37,23,32,45,46,24,28,14,16,26,15,19,17,753,92
335,3078400,Census Tract 784,"Census Tract 784, Kings County, New York",36047078400,140,0,36,47,22,,78400,2348,2348,36322.05,0.064643929,0.06464393,0.06464393,0,2348,1048,1300,2348,1048,67,66,77,43,98,152,135,146,124,87,45,8,1300,50,66,82,45,140,171,174,192,173,109,74,24,2348,1048,67,133,210,253,351,503,638,784,908,995,1040,1300,50,116,198,243,383,554,728,920,1093,1202,1276,2348,1048,981,915,838,795,697,545,410,264,140,53,8,1300,1250,1184,1102,1057,917,746,572,380,207,98,24,2348,1048,253,250,405,140,1300,243,311,539,207,2348,117,132,159,88,238,323,309,338,297,196,119,32,2348,117,249,408,496,734,1057,1366,1704,2001,2197,2316,2348,2231,2099,1940,1852,1614,1291,982,644,347,151,32,2348,496,561,944,347,2348,117,132,159,88,82,25,31,100,166,157,164,145,162,176,147,64,86,57,48,91,78,41,32,2348,117,249,408,496,578,603,634,734,900,1057,1221,1366,1528,1704,1851,1915,2001,2058,2106,2197,2275,2316,2348,2231,2099,1940,1852,1770,1745,1714,1614,1448,1291,1127,982,820,644,497,433,347,290,242,151,73,32,1048,253,250,405,140,1300,243,311,539,207,126,4,1,2,2,0,1,0,8,10,6,6,9,5,10,12,3,9,5,4,6,11,9,3,126,4
336,3078600,Census Tract 786,"Census Tract 786, Kings County, New York",36047078600,140,0,36,47,22,,78600,4256,4256,64434.04,0.066052043,0.06605204,0.06605204,0,4256,1928,2328,4256,1928,166,115,117,87,204,294,282,249,218,119,63,14,2328,143,120,122,70,191,370,393,306,320,156,102,35,4256,1928,166,281,398,485,689,983,1265,1514,1732,1851,1914,2328,143,263,385,455,646,1016,1409,1715,2035,2191,2293,4256,1928,1762,1647,1530,1443,1239,945,663,414,196,77,14,2328,2185,2065,1943,1873,1682,1312,919,613,293,137,35,4256,1928,485,498,749,196,2328,455,561,1019,293,4256,309,235,239,157,395,664,675,555,538,275,165,49,4256,309,544,783,940,1335,1999,2674,3229,3767,4042,4207,4256,3947,3712,3473,3316,2921,2257,1582,1027,489,214,49,4256,940,1059,1768,489,4256,309,235,239,157,108,46,61,180,311,353,322,353,271,284,278,107,153,66,92,117,95,70,49,4256,309,544,783,940,1048,1094,1155,1335,1646,1999,2321,2674,2945,3229,3507,3614,3767,3833,3925,4042,4137,4207,4256,3947,3712,3473,3316,3208,3162,3101,2921,2610,2257,1935,1582,1311,1027,749,642,489,423,331,214,119,49,1928,485,498,749,196,2328,455,561,1019,293,298,22,11,6,6,12,2,8,13,25,20,30,19,14,16,15,9,13,6,9,15,4,11,12,298,22
337,3079000,Census Tract 790,"Census Tract 790, Kings County, New York",36047079000,140,0,36,47,22,,79000,5094,5094,72099.8,0.070652065,0.07065207,0.07065207,0,5094,2212,2882,5094,2212,179,132,154,126,255,325,256,317,271,121,55,21,2882,149,182,172,125,312,415,390,440,341,212,103,41,5094,2212,179,311,465,591,846,1171,1427,1744,2015,2136,2191,2882,149,331,503,628,940,1355,1745,2185,2526,2738,2841,5094,2212,2033,1901,1747,1621,1366,1041,785,468,197,76,21,2882,2733,2551,2379,2254,1942,1527,1137,697,356,144,41,5094,2212,591,580,844,197,2882,628,727,1171,356,5094,328,314,326,251,567,740,646,757,612,333,158,62,5094,328,642,968,1219,1786,2526,3172,3929,4541,4874,5032,5094,4766,4452,4126,3875,3308,2568,1922,1165,553,220,62,5094,1219,1307,2015,553,5094,328,314,326,251,151,72,75,269,398,342,331,315,388,369,313,124,175,81,104,148,97,61,62,5094,328,642,968,1219,1370,1442,1517,1786,2184,2526,2857,3172,3560,3929,4242,4366,4541,4622,4726,4874,4971,5032,5094,4766,4452,4126,3875,3724,3652,3577,3308,2910,2568,2237,1922,1534,1165,852,728,553,472,368,220,123,62,2212,591,580,844,197,2882,628,727,1171,356,127,6,4,7,8,3,4,4,6,21,10,5,8,9,7,10,3,7,0,1,2,0,1,1,127,6
338,3079200,Census Tract 792,"Census Tract 792, Kings County, New York",36047079200,140,0,36,47,22,,79200,4372,4372,52256.11,0.083664866,0.08366486,0.08366486,0,4372,1870,2502,4372,1870,172,183,156,93,223,273,255,214,167,84,40,10,2502,184,172,154,104,266,394,379,336,264,126,94,29,4372,1870,172,355,511,604,827,1100,1355,1569,1736,1820,1860,2502,184,356,510,614,880,1274,1653,1989,2253,2379,2473,4372,1870,1698,1515,1359,1266,1043,770,515,301,134,50,10,2502,2318,2146,1992,1888,1622,1228,849,513,249,123,29,4372,1870,604,496,636,134,2502,614,660,979,249,4372,356,355,310,197,489,667,634,550,431,210,134,39,4372,356,711,1021,1218,1707,2374,3008,3558,3989,4199,4333,4372,4016,3661,3351,3154,2665,1998,1364,814,383,173,39,4372,1218,1156,1615,383,4372,356,355,310,197,159,70,72,188,354,313,341,293,296,254,227,91,113,55,69,86,78,56,39,4372,356,711,1021,1218,1377,1447,1519,1707,2061,2374,2715,3008,3304,3558,3785,3876,3989,4044,4113,4199,4277,4333,4372,4016,3661,3351,3154,2995,2925,2853,2665,2311,1998,1657,1364,1068,814,587,496,383,328,259,173,95,39,1870,604,496,636,134,2502,614,660,979,249,251,29,27,24,14,8,9,3,9,14,21,24,12,9,12,12,4,4,3,2,5,4,2,0,251,29
339,3079601,Census Tract 796.01,"Census Tract 796.01, Kings County, New York",36047079601,140,0,36,47,22,,79601,4413,4413,103530.1,0.042625294,0.04262529,0.04262529,0,4413,1903,2510,4413,1903,147,118,123,85,200,363,281,253,194,94,37,8,2510,132,107,119,81,249,481,381,363,312,166,88,31,4413,1903,147,265,388,473,673,1036,1317,1570,1764,1858,1895,2510,132,239,358,439,688,1169,1550,1913,2225,2391,2479,4413,1903,1756,1638,1515,1430,1230,867,586,333,139,45,8,2510,2378,2271,2152,2071,1822,1341,960,597,285,119,31,4413,1903,473,563,728,139,2510,439,730,1056,285,4413,279,225,242,166,449,844,662,616,506,260,125,39,4413,279,504,746,912,1361,2205,2867,3483,3989,4249,4374,4413,4134,3909,3667,3501,3052,2208,1546,930,424,164,39,4413,912,1293,1784,424,4413,279,225,242,166,108,49,56,236,458,386,342,320,297,319,269,111,126,64,80,116,72,53,39,4413,279,504,746,912,1020,1069,1125,1361,1819,2205,2547,2867,3164,3483,3752,3863,3989,4053,4133,4249,4321,4374,4413,4134,3909,3667,3501,3393,3344,3288,3052,2594,2208,1866,1546,1249,930,661,550,424,360,280,164,92,39,1903,473,563,728,139,2510,439,730,1056,285,778,63,25,30,12,10,7,13,62,168,97,78,71,47,26,21,7,9,2,7,10,2,9,2,778,63
340,3080000,Census Tract 800,"Census Tract 800, Kings County, New York",36047080000,140,0,36,47,22,,80000,3487,3487,51999.89,0.06705784,0.06705784,0.06705784,0,3487,1599,1888,3487,1599,105,83,121,55,154,226,251,222,190,100,68,24,1888,89,95,105,72,152,254,298,278,239,163,105,38,3487,1599,105,188,309,364,518,744,995,1217,1407,1507,1575,1888,89,184,289,361,513,767,1065,1343,1582,1745,1850,3487,1599,1494,1411,1290,1235,1081,855,604,382,192,92,24,1888,1799,1704,1599,1527,1375,1121,823,545,306,143,38,3487,1599,364,380,663,192,1888,361,406,815,306,3487,194,178,226,127,306,480,549,500,429,263,173,62,3487,194,372,598,725,1031,1511,2060,2560,2989,3252,3425,3487,3293,3115,2889,2762,2456,1976,1427,927,498,235,62,3487,725,786,1478,498,3487,194,178,226,127,84,31,37,154,227,253,289,260,274,226,232,91,106,78,70,115,103,70,62,3487,194,372,598,725,809,840,877,1031,1258,1511,1800,2060,2334,2560,2792,2883,2989,3067,3137,3252,3355,3425,3487,3293,3115,2889,2762,2678,2647,2610,2456,2229,1976,1687,1427,1153,927,695,604,498,420,350,235,132,62,1599,364,380,663,192,1888,361,406,815,306,548,35,29,34,10,3,2,1,25,52,55,51,48,59,45,25,12,14,9,9,11,7,7,5,548,35
341,3080400,Census Tract 804,"Census Tract 804, Kings County, New York",36047080400,140,0,36,47,22,,80400,3250,3250,44359.16,0.07326559,0.07326559,0.07326559,0,3250,1430,1820,3250,1430,103,102,99,62,171,246,162,202,155,76,44,8,1820,121,87,103,73,198,331,239,295,164,105,86,18,3250,1430,103,205,304,366,537,783,945,1147,1302,1378,1422,1820,121,208,311,384,582,913,1152,1447,1611,1716,1802,3250,1430,1327,1225,1126,1064,893,647,485,283,128,52,8,1820,1699,1612,1509,1436,1238,907,668,373,209,104,18,3250,1430,366,417,519,128,1820,384,529,698,209,3250,224,189,202,135,369,577,401,497,319,181,130,26,3250,224,413,615,750,1119,1696,2097,2594,2913,3094,3224,3250,3026,2837,2635,2500,2131,1554,1153,656,337,156,26,3250,750,946,1217,337,3250,224,189,202,135,93,51,56,169,328,249,194,207,245,252,177,55,87,46,54,81,75,55,26,3250,224,413,615,750,843,894,950,1119,1447,1696,1890,2097,2342,2594,2771,2826,2913,2959,3013,3094,3169,3224,3250,3026,2837,2635,2500,2407,2356,2300,2131,1803,1554,1360,1153,908,656,479,424,337,291,237,156,81,26,1430,366,417,519,128,1820,384,529,698,209,275,34,15,13,6,2,5,3,36,55,17,17,13,12,18,13,1,2,3,0,1,5,4,0,275,34
342,3080600,Census Tract 806,"Census Tract 806, Kings County, New York",36047080600,140,0,36,47,22,,80600,3386,3386,52734.53,0.064208406,0.0642084,0.0642084,0,3386,1553,1833,3386,1553,177,149,90,64,179,283,180,160,151,82,30,8,1833,149,140,129,62,211,308,225,250,177,104,55,23,3386,1553,177,326,416,480,659,942,1122,1282,1433,1515,1545,1833,149,289,418,480,691,999,1224,1474,1651,1755,1810,3386,1553,1376,1227,1137,1073,894,611,431,271,120,38,8,1833,1684,1544,1415,1353,1142,834,609,359,182,78,23,3386,1553,480,462,491,120,1833,480,519,652,182,3386,326,289,219,126,390,591,405,410,328,186,85,31,3386,326,615,834,960,1350,1941,2346,2756,3084,3270,3355,3386,3060,2771,2552,2426,2036,1445,1040,630,302,116,31,3386,960,981,1143,302,3386,326,289,219,126,85,50,62,193,297,294,224,181,204,206,168,63,97,36,70,80,53,32,31,3386,326,615,834,960,1045,1095,1157,1350,1647,1941,2165,2346,2550,2756,2924,2987,3084,3120,3190,3270,3323,3355,3386,3060,2771,2552,2426,2341,2291,2229,2036,1739,1445,1221,1040,836,630,462,399,302,266,196,116,63,31,1553,480,462,491,120,1833,480,519,652,182,937,178,126,60,34,20,14,20,73,115,109,41,35,28,30,15,10,6,3,3,9,1,6,1,937,178
343,3081000,Census Tract 810,"Census Tract 810, Kings County, New York",36047081000,140,0,36,47,22,,81000,2300,2300,36677.25,0.062709171,0.06270917,0.06270917,0,2300,1004,1296,2300,1004,73,66,64,37,109,176,147,109,116,62,35,10,1296,64,75,83,41,121,209,159,191,155,123,48,27,2300,1004,73,139,203,240,349,525,672,781,897,959,994,1296,64,139,222,263,384,593,752,943,1098,1221,1269,2300,1004,931,865,801,764,655,479,332,223,107,45,10,1296,1232,1157,1074,1033,912,703,544,353,198,75,27,2300,1004,240,285,372,107,1296,263,330,505,198,2300,137,141,147,78,230,385,306,300,271,185,83,37,2300,137,278,425,503,733,1118,1424,1724,1995,2180,2263,2300,2163,2022,1875,1797,1567,1182,876,576,305,120,37,2300,503,615,877,305,2300,137,141,147,78,55,29,21,125,212,173,157,149,141,159,139,57,75,63,38,84,49,34,37,2300,137,278,425,503,558,587,608,733,945,1118,1275,1424,1565,1724,1863,1920,1995,2058,2096,2180,2229,2263,2300,2163,2022,1875,1797,1742,1713,1692,1567,1355,1182,1025,876,735,576,437,380,305,242,204,120,71,37,1004,240,285,372,107,1296,263,330,505,198,85,6,7,2,0,2,0,2,9,14,8,9,4,2,4,6,6,1,1,0,0,1,0,1,85,6
